132,Bmptr,Mekhliganj,26.33,88.86
133,Bmptr,Miao,27.49,96.21
134,Bmptr,Motipur,27.51,96.17
135,Bmptr,Murti,26.84,88.83
136,Bmptr,NH31Jaldhaka,26.57,88.94
137,Bmptr,NTRoadCrossingRanganadi,27.21,94.05
138,Bmptr,Nagrakata,26.87,88.89
139,Bmptr,Naharkatia,27.32,95.31
140,Bmptr,Namsai,27.63,95.85
141,Bmptr,Nanglamoraghat,27.01,94.82
142,Bmptr,Neamatighat,26.86,94.25
143,Bmptr,Neora,26.88,88.77
144,Bmptr,Numaligarh,26.63,93.73
145,Bmptr,NuranangChu,27.55,92.02
146,Bmptr,NyukcharongChu,27.64,92.01
147,Bmptr,Pagladiya,26.45,91.46
148,Bmptr,Panbari,26.59,90.83
149,Bmptr,Pancharatna,26.22,90.56
150,Bmptr,Pandu,26.18,91.67
151,Bmptr,Passighat,28.10,95.31
152,Bmptr,PuthimariDRF,26.80,91.70
153,Bmptr,PuthimariNHCrossing,26.37,91.65
154,Bmptr,Rangpo,27.17,88.53
155,Bmptr,Reshi,27.22,88.30
156,Bmptr,RongChu,27.64,92.00
157,Bmptr,Rothak,27.17,88.30
158,Bmptr,Sagbari,27.25,88.30
159,Bmptr,Sankalan,27.50,88.52
160,Bmptr,Sankalang,27.51,88.53
161,Bmptr,Sankosh,26.46,89.86
162,Bmptr,Saralpara,26.40,90.25
163,Bmptr,Seppa,27.36,93.04
164,Bmptr,Sevoke,26.88,88.47
165,Bmptr,SinglaBazar,27.13,88.28
166,Bmptr,Sivasagar,26.98,94.63
167,Bmptr,Sonapur,26.12,91.98
168,Bmptr,Suklai,26.65,91.71
169,Bmptr,Sutaley,26.96,88.41
170,Bmptr,Talangchu,27.51,88.52
171,Bmptr,TawangChuMurugaBridge,27.62,92.01
172,Bmptr,TeestaBazar,27.06,88.43
173,Bmptr,Tezpur,26.61,92.81
174,Bmptr,Tezu,27.91,96.17
175,Bmptr,Toyum,27.27,88.24
176,Bmptr,Tufanganj,26.31,89.67
177,Bmptr,Tuting,29.01,94.90
178,Bmptr,Udaipur,27.36,95.91
179,Bmptr,Yazali,27.40,93.74
180,Bmptr,Yingkiang,28.65,95.01
181,Bmptr,YusumVillage,27.55,91.86
182,Cauvery,Akkihebbal,12.60,76.40
183,Cauvery,Annavasal,10.97,79.76
184,Cauvery,Bendrehalli,12.04,77.01
185,Cauvery,Biligundulu,12.18,77.73
186,Cauvery,Chunchunkatte,12.51,76.30
187,Cauvery,EManagalam,11.03,77.89
188,Cauvery,Gopurajapuram,10.85,79.80
189,Cauvery,Hogenakkal,12.12,77.79
190,Cauvery,KMVadi,12.34,76.29
191,Cauvery,Kanakpura,12.54,77.43
192,Cauvery,Kodumudi,11.08,77.89
193,Cauvery,Kollegal,12.19,77.10
194,Cauvery,Kudige,12.50,75.96
195,Cauvery,Kudlur,11.84,77.46
196,Cauvery,MHHalli,12.82,76.13
197,Cauvery,Menangudi,10.95,79.71
198,Cauvery,Musiri,10.94,78.43
199,Cauvery,Muthankera,11.85,76.12
200,Cauvery,Nalammaranpatti,10.88,77.98
201,Cauvery,Nallathur,10.99,79.79
202,Cauvery,Nellithurai,11.29,76.89
203,Cauvery,Peralam,10.97,79.66
204,Cauvery,Porakudi,10.91,79.71
205,Cauvery,Sakleshpur,12.90,75.79
206,Cauvery,Savandapur,11.52,77.51
207,Cauvery,Sevanur,11.55,77.71
208,Cauvery,TBekuppe,12.52,77.44
209,Cauvery,TNarasipur,12.23,76.89
210,Cauvery,TKHalli,12.42,77.19
211,Cauvery,Thengudi,10.92,79.64
212,Cauvery,Thengumarahada,11.57,76.92
213,Cauvery,Thevur,11.53,77.75
214,Cauvery,Thimmanahalli,12.98,76.04
215,Cauvery,Thoppur,11.94,78.06
216,Cauvery,Urachikottai,11.48,77.70
217,EFRBMP,Anakapally,17.69,83.00
218,EFRBMP,Gotta_barrage,18.69,83.96
219,EFRBMP,Gudari,19.35,83.78
220,EFRBMP,Gunupur,19.09,83.81
221,EFRBMP,K_Bitragunta,15.31,80.00
222,EFRBMP,Kashinagar,18.85,83.87
223,EFRBMP,Kutraguda,19.61,83.55
224,EFRBMP,Madhabarida,19.85,84.63
225,EFRBMP,Mahendragarh,19.22,84.26
226,EFRBMP,Marella,15.88,79.91
227,EFRBMP,Mohana,19.45,84.25
228,EFRBMP,Purushottampur,19.51,84.87
229,EFRBMP,Sorada,19.75,84.44
230,EFRBMP,Srikakulam,18.29,83.89
231,EFRBMP,Thammavaram,15.71,79.97
232,EFRBPK,A_P_Puram,8.90,77.65
233,EFRBPK,Ambasamudram,9.93,77.51
234,EFRBPK,Arcot,12.91,79.34
235,EFRBPK,Avarankuppam,12.69,78.54
236,EFRBPK,Chengalpattu,12.65,79.95
237,EFRBPK,Gummanur,12.55,78.14
238,EFRBPK,Irrukkankudi,9.32,77.99
239,EFRBPK,Kudalaiyathur,11.42,79.47
240,EFRBPK,Kumarapalayam,11.99,79.68
241,EFRBPK,Magaral,12.71,79.76
242,EFRBPK,Murappanadu,8.72,77.83
243,EFRBPK,Naidupet,13.95,79.90
244,EFRBPK,Paramakudi,9.55,79.58
245,EFRBPK,Sulurpet,13.71,80.01
246,EFRBPK,Theni,10.00,77.47
247,EFRBPK,Vazhavachanur,12.07,78.98
248,EFRBPK,Villupuram,11.87,79.47
249,Ganga,ABRoadCrossingNimkhedi,24.35,77.11
250,Ganga,AgraJB,27.21,78.04
251,Ganga,AgraRG,27.26,78.02
252,Ganga,Ahirwalia,26.37,85.15
253,Ganga,Akbarpur,26.42,82.55
254,Ganga,Aklera,24.43,76.60
255,Ganga,Ankinghat,26.91,80.07
256,Ganga,Araria,26.13,87.49
257,Ganga,Amota,26.96,78.37
258,Ganga,Auraiya,26.43,79.42
259,Ganga,Ayodhya,26.81,82.21
260,Ganga,Azamabad,25.33,87.26
261,Ganga,Azamgarh,26.05,83.18
262,Ganga,BKGhatKatemighat,28.08,81.09
263,Ganga,Badrinath,30.77,79.50
