Bmptr_Tezpur,100.06
Bmptr_Tezu,22660.02
Bmptr_Toyum,188.62
Bmptr_Tufanganj,2.01
Bmptr_Tuting,172504.18
Bmptr_Udaipur,852.3
Bmptr_Yazali,1751.97
Bmptr_Yingkiang,176994.04
Bmptr_YusumVillage,3429.45
Cauvery_Akkihebbal,5164.39
Cauvery_Annavasal,0.94
Cauvery_Bendrehalli,1404.55
Cauvery_Biligundulu,37541.36
Cauvery_Chunchunkatte,2919.33
Cauvery_EManagalam,3499.3
Cauvery_Gopurajapuram,159.99
Cauvery_Hogenakkal,37632.97
Cauvery_KMVadi,1457.73
Cauvery_Kanakpura,3300.94
Cauvery_Kodumudi,52703.95
Cauvery_Kollegal,21757.82
Cauvery_Kudige,1758.34
Cauvery_Kudlur,723.04
Cauvery_MHHalli,3016.01
Cauvery_Menangudi,2.03
Cauvery_Musiri,69529.63
Cauvery_Muthankera,1465.8
Cauvery_Nalammaranpatti,8683.87
Cauvery_Nallathur,187.15
Cauvery_Nellithurai,1491.16
Cauvery_Peralam,89.39
Cauvery_Porakudi,247.25
Cauvery_Sakleshpur,16.56
Cauvery_Savandapur,5604.97
Cauvery_Sevanur,314.13
Cauvery_TBekuppe,3331.25
Cauvery_TNarasipur,7062.48
Cauvery_TKHalli,8107.55
Cauvery_Thengudi,211.53
Cauvery_Thengumarahada,1360.41
Cauvery_Thevur,1193.15
Cauvery_Thimmanahalli,971.27
Cauvery_Thoppur,350.67
Cauvery_Urachikottai,44832.45
EFRBMP_Anakapally,2097.24
EFRBMP_Gotta_barrage,9669.29
EFRBMP_Gudari,3118.56
EFRBMP_Gunupur,6937.57
EFRBMP_K_Bitragunta,2312.83
EFRBMP_Kashinagar,7913.68
EFRBMP_Kutraguda,1045.34
EFRBMP_Madhabarida,1444.15
EFRBMP_Mahendragarh,189.05
EFRBMP_Marella,7003.63
EFRBMP_Mohana,310.24
EFRBMP_Purushottampur,6995.99
EFRBMP_Sorada,1617.4
EFRBMP_Srikakulam,9043.3
EFRBMP_Thammavaram,7957.12
EFRBPK_A_P_Puram,1287.14
EFRBPK_Ambasamudram,701.3
EFRBPK_Arcot,10796.27
EFRBPK_Avarankuppam,3171.15
EFRBPK_Chengalpattu,16250.64
EFRBPK_Gummanur,5096.89
EFRBPK_Irrukkankudi,3810.28
EFRBPK_Kudalaiyathur,7127.66
EFRBPK_Kumarapalayam,2181.74
EFRBPK_Magaral,3964.52
EFRBPK_Murappanadu,4643.55
EFRBPK_Naidupet,2356.71
EFRBPK_Paramakudi,0.01
EFRBPK_Sulurpet,722.53
EFRBPK_Theni,917.42
EFRBPK_Vazhavachanur,11564.27
EFRBPK_Villupuram,13223.06
Ganga_ABRoadCrossingNimkhedi,5970.69
Ganga_AgraJB,36258.03
Ganga_AgraRG,36238.45
Ganga_Ahirwalia,7777.95
Ganga_Akbarpur,2006.72
Ganga_Aklera,6129.38
Ganga_Ankinghat,1.72
Ganga_Araria,2552.09
Ganga_Amota,25592.46
Ganga_Auraiya,239113.78
Ganga_Ayodhya,87212.82
Ganga_Azamabad,804015.1
Ganga_Azamgarh,5020.84
Ganga_BKGhatKatemighat,1.36
Ganga_Badrinath,980.78
Ganga_Bageshwar,1154.19
Ganga_Baghpat,16825.62
Ganga_Ballia,515225.36
Ganga_BalpahariBarrageSite,5316.76
Ganga_BalpahariDamAxis,4379.17
Ganga_Balrampur,1.06
Ganga_Baltara,38219.79
Ganga_Banbasa,15319.74
Ganga_Banda,25338.14
Ganga_Bani,327.1
Ganga_Bansi,2.94
Ganga_Baranwada,53575.01
Ganga_Bareilly,18762.43
Ganga_Barkisuriya,2694.19
Ganga_Barod,24632.5
Ganga_Basoda,7884.96
Ganga_Basti,12647.51
Ganga_Basua,74.92
Ganga_Bausan,2135.63
Ganga_Bazarsaw,0.79
Ganga_Bedepara,132.3
Ganga_Benibad,7.56
Ganga_Berhait,1072.94
Ganga_Berhampore,4399.88
Ganga_Bewar,0.84
Ganga_Bhagalpur,800104.59
Ganga_Bhatparani,2922.1
Ganga_Bhatpurwaghat,7713.68
Ganga_Bhikiasen,1628.01
Ganga_Bhind,6233.95
Ganga_Bhinga,6964.71
Ganga_Bhitaura,89808.48
Ganga_Bigod,13803.19
Ganga_Birdghat,11802.49
Ganga_Birpur,31.67
Ganga_Biswanathpur,7.32
Ganga_Buxar,504621.32
Ganga_Chandradeepghat,9162.3
Ganga_Chandrapuri,1193.42
Ganga_Chanpatia,1049.33
Ganga_Chapra,3.37
Ganga_Chargharia,371.18
Ganga_Chatia,118.79
Ganga_ChhapraMakhdumganj,5.72
Ganga_ChhatnagAllahabad,434821.17
Ganga_Chillaghat,328354.13
Ganga_ChittogarhatRiverBerach,5191.56
Ganga_Chittorgarh,1394.5
Ganga_Chopan,46863.22
Ganga_Colonelganj,7194.74
Ganga_DRGhat,338.12
Ganga_Dabri,22139.76
Ganga_Dadri,1790.07
Ganga_Dalmau,91214.28
Ganga_DaltenGanj,5236.64
Ganga_Darauli,127411.53
