"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
0,0,86.046511627907,0,12.093023255814,1.86046511627907,0,0,0,0,0,0,0,0,0,0
0,0,86.046511627907,0,12.093023255814,1.86046511627907,0,0,0,0,0,0,0,0,0,0
0,0,90.0221729490022,0,8.64745011086475,1.33037694013304,0,0,0,0,0,0,0,0,0,0
13.5226791013141,0,86.4773208986859,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,81.5195071868583,0,16.0164271047228,2.46406570841889,0,0,0,0,0,0,0,0,0,0
0,0,0,0,87.7966101694915,0,0,12.2033898305085,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,82.9545454545455,0,14.7727272727273,2.27272727272727,0,0,0,0,0,0,0,0,0,0
0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,82.9545454545455,0,14.7727272727273,2.27272727272727,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
90.9609120521173,0,0,0,9.03908794788274,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
12.615823235923,13.1860299358517,0,0,0,0,0,35.4953670705631,38.7027797576621,0,0,0,0,0,0,0
38.8731507711678,0,0,0,0,0,0,61.1268492288322,0,0,0,0,0,0,0,0
4.90440565253533,15.378221113882,0,0,0,0,0,34.5802161263508,45.1371571072319,0,0,0,0,0,0,0
7.41222366710013,2.73081924577373,1.1703511053316,0,0,0,0,81.0143042912874,7.67230169050715,0,0,0,0,0,0,0
2.43243243243243,1.62162162162162,2.43243243243243,0,0,0,0,86.7567567567568,6.75675675675676,0,0,0,0,0,0,0
23.3333333333333,4.28571428571429,0.714285714285714,0,0,0,0,56.3492063492063,15.3174603174603,0,0,0,0,0,0,0
9.09090909090909,6.06060606060606,1.01010101010101,0,0,0,0,70.2581369248036,13.5802469135802,0,0,0,0,0,0,0
0.111358574610245,20.6013363028953,0,0,0,0,0,24.6102449888641,54.6770601336303,0,0,0,0,0,0,0
14.3790849673203,5.04201680672269,0.840336134453782,0,0,0,0,61.71802054155,18.0205415499533,0,0,0,0,0,0,0
50.070201965655,0,0,0,0,0,0,49.929798034345,0,0,0,0,0,0,0,0
9.70088924818108,0,23.4438156831043,0,33.2255456750202,0,0,33.6297493936944,0,0,0,0,0,0,0,0
0,0,0,0,29.5053003533569,0,0,70.4946996466431,0,0,0,0,0,0,0,0
0.143472022955524,0,0,0,0,0,0,99.8565279770445,0,0,0,0,0,0,0,0
0,0,0,0,23.5920852359209,0,0,76.4079147640791,0,0,0,0,0,0,0,0
11.8668720054757,0,11.6786447638604,0.915468856947296,34.3856947296372,1.91649555099247,7.56331279945243,17.2227926078029,13.1245722108145,0,0,0,0.0684462696783025,0,0,1.25770020533881
0,0,47.1264367816092,0,47.816091954023,5.05747126436782,0,0,0,0,0,0,0,0,0,0
0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
21.900826446281,0,0.137741046831956,0,70.2479338842975,7.71349862258953,0,0,0,0,0,0,0,0,0,0
0.411946446961895,0,19.1555097837281,0,42.3274974253347,0,0,38.1050463439753,0,0,0,0,0,0,0,0
2.84757118927973,0,0,0,3.18257956448911,0,0,93.9698492462312,0,0,0,0,0,0,0,0
32.5,0,39.1071428571429,0,1.96428571428571,0,0,26.4285714285714,0,0,0,0,0,0,0,0
20.1297141484506,0,77.3480662983425,0,0.0720634158059092,2.45015613740091,0,0,0,0,0,0,0,0,0,0
7.46268656716418,0,0,0,2.98507462686567,0,0,89.5522388059701,0,0,0,0,0,0,0,0
21.8152866242038,0,0,0,0,0,0,78.1847133757962,0,0,0,0,0,0,0,0
0.248344370860927,0,75.3311258278146,0,24.4205298013245,0,0,0,0,0,0,0,0,0,0,0
14.7026431718062,0,12.4606670862177,0.841724354940214,31.7101950912524,1.76211453744493,6.95405915670233,18.2819383259912,12.0673379483952,0,0,0,0.0629326620516048,0,0,1.15638766519824
14.1608391608392,0,0,0,0,0,0,85.8391608391608,0,0,0,0,0,0,0,0
0,0,4.94350282485876,0,10.1694915254237,0.141242937853107,0,28.5310734463277,41.3841807909604,0,0,0,1.12994350282486,0,0,13.7005649717514
5.03926701570681,0,0,0,26.0471204188482,0,0,68.913612565445,0,0,0,0,0,0,0,0
3.30843116328709,0,15.9018143009605,0,0,0,0,29.9893276414087,50.8004268943436,0,0,0,0,0,0,0
0.420168067226891,0,0,0,5.32212885154062,0,0,94.2577030812325,0,0,0,0,0,0,0,0
0.420168067226891,0,0,0,5.32212885154062,0,0,94.2577030812325,0,0,0,0,0,0,0,0
24.3243243243243,0,61.8725868725869,0,4.63320463320463,0,0,9.16988416988417,0,0,0,0,0,0,0,0
99.390243902439,0,0,0,0,0.609756097560976,0,0,0,0,0,0,0,0,0,0
0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
76.0914760914761,0,0,0,0,0,0,23.9085239085239,0,0,0,0,0,0,0,0
3.94990366088632,0,0,0,48.3622350674374,6.74373795761079,0,38.3429672447013,0,0,0,0,0,0,0,2.60115606936416
16.3738580463809,0,0,0,2.67041461700632,0,0,80.9557273366128,0,0,0,0,0,0,0,0
49.7828730241445,0,0,0,0,0,0,50.2171269758555,0,0,0,0,0,0,0,0
2.08955223880597,0,45.3731343283582,0,0,0,0,52.5373134328358,0,0,0,0,0,0,0,0
9.27536231884058,0,0,0,0,0,0,90.7246376811594,0,0,0,0,0,0,0,0
10.8333333333333,0,0.166666666666667,0,79.6666666666667,9.33333333333333,0,0,0,0,0,0,0,0,0,0
3.78787878787879,0,0,8.58585858585859,70.7070707070707,0,0,16.9191919191919,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
