BLD_D2.5cm,BLD_D10cm,BLD_D22.5cm,BLD_D45cm,BLD_D80cm,BLD_D150cm,CLYPPT_D2.5cm,CLYPPT_D10cm,CLYPPT_D22.5cm,CLYPPT_D45cm,CLYPPT_D80cm,CLYPPT_D150cm,CRFVOL_D2.5cm,CRFVOL_D10cm,CRFVOL_D22.5cm,CRFVOL_D45cm,CRFVOL_D80cm,CRFVOL_D150cm,ORCDRC_D2.5cm,ORCDRC_D10cm,ORCDRC_D22.5cm,ORCDRC_D45cm,ORCDRC_D80cm,ORCDRC_D150cm,SLTPPT_D2.5cm,SLTPPT_D10cm,SLTPPT_D22.5cm,SLTPPT_D45cm,SLTPPT_D80cm,SLTPPT_D150cm,SNDPPT_D2.5cm,SNDPPT_D10cm,SNDPPT_D22.5cm,SNDPPT_D45cm,SNDPPT_D80cm,SNDPPT_D150cm
1294.38,1313.09,1343.66,1394.37,1454.90,1509.18,26.97,28.87,31.52,33.91,33.91,32.25,11.49,11.53,11.96,13.60,15.40,16.75,24.52,20.77,15.83,10.14,5.91,3.33,30.74,29.87,28.72,27.49,26.88,26.56,42.30,41.21,39.77,38.58,39.23,41.18
1303.55,1322.24,1352.78,1403.46,1463.94,1518.17,25.59,27.48,30.02,32.39,32.38,30.76,11.02,10.87,11.10,12.57,14.32,15.70,20.39,17.26,13.16,8.43,4.90,2.76,32.47,31.59,30.45,29.19,28.59,28.29,41.86,40.82,39.45,38.34,38.96,40.87
1287.55,1306.26,1336.83,1387.56,1448.09,1502.38,27.97,29.89,32.46,34.87,34.87,33.24,9.45,9.19,9.25,10.44,11.95,13.19,22.43,18.99,14.48,9.28,5.39,3.04,31.91,31.01,29.86,28.61,28.01,27.70,40.17,39.09,37.68,36.54,37.14,39.05
1307.60,1326.16,1356.50,1406.85,1466.93,1520.80,24.66,26.53,29.04,31.39,31.37,29.75,11.18,11.09,11.39,12.91,14.68,16.06,18.81,15.92,12.14,7.78,4.52,2.54,31.50,30.64,29.50,28.25,27.65,27.35,43.09,42.07,40.73,39.62,40.25,42.17
1290.82,1309.34,1339.61,1389.83,1449.76,1503.49,25.25,27.12,29.64,31.99,31.98,30.36,11.23,11.13,11.41,12.94,14.71,16.10,20.48,17.34,13.22,8.47,4.93,2.77,32.03,31.17,30.03,28.78,28.19,27.89,41.73,40.71,39.35,38.25,38.86,40.77
1290.55,1309.26,1339.82,1390.54,1451.06,1505.33,27.40,29.30,31.94,34.31,34.32,32.67,11.22,11.19,11.56,13.13,14.89,16.24,24.97,21.14,16.12,10.33,6.02,3.39,31.35,30.48,29.32,28.09,27.48,27.15,41.27,40.18,38.74,37.56,38.21,40.13
1299.21,1317.76,1348.08,1398.38,1458.40,1512.23,25.08,26.95,29.47,31.82,31.81,30.19,11.34,11.25,11.56,13.10,14.89,16.29,19.73,16.71,12.74,8.16,4.75,2.67,31.74,30.87,29.73,28.48,27.89,27.59,42.35,41.33,39.98,38.87,39.50,41.40
1303.82,1322.52,1353.11,1403.84,1464.37,1518.66,22.62,24.45,26.96,29.31,29.28,27.64,12.99,12.95,13.36,15.16,17.21,18.79,20.51,17.37,13.23,8.47,4.95,2.79,33.86,33.03,31.88,30.61,30.00,29.74,43.50,42.51,41.20,40.13,40.76,42.66
1171.69,1189.96,1219.83,1269.40,1328.55,1381.58,20.12,21.80,24.12,26.32,26.26,24.70,17.22,17.81,19.06,21.82,24.44,26.19,51.04,43.22,32.96,21.11,12.29,6.97,32.21,31.45,30.41,29.26,28.67,28.37,45.36,44.43,43.18,42.14,42.78,44.65
1185.55,1204.19,1234.66,1285.23,1345.57,1399.68,18.47,20.12,22.40,24.60,24.54,22.96,26.96,28.14,30.39,34.84,38.91,41.52,63.09,53.43,40.73,26.08,15.19,8.62,33.38,32.58,31.48,30.27,29.65,29.34,47.84,46.98,45.79,44.80,45.50,47.42
