BLD_D2.5cm,BLD_D10cm,BLD_D22.5cm,BLD_D45cm,BLD_D80cm,BLD_D150cm,CLYPPT_D2.5cm,CLYPPT_D10cm,CLYPPT_D22.5cm,CLYPPT_D45cm,CLYPPT_D80cm,CLYPPT_D150cm,CRFVOL_D2.5cm,CRFVOL_D10cm,CRFVOL_D22.5cm,CRFVOL_D45cm,CRFVOL_D80cm,CRFVOL_D150cm,ORCDRC_D2.5cm,ORCDRC_D10cm,ORCDRC_D22.5cm,ORCDRC_D45cm,ORCDRC_D80cm,ORCDRC_D150cm,SLTPPT_D2.5cm,SLTPPT_D10cm,SLTPPT_D22.5cm,SLTPPT_D45cm,SLTPPT_D80cm,SLTPPT_D150cm,SNDPPT_D2.5cm,SNDPPT_D10cm,SNDPPT_D22.5cm,SNDPPT_D45cm,SNDPPT_D80cm,SNDPPT_D150cm
1314.21,1332.87,1363.37,1413.99,1474.38,1528.54,30.03,31.94,34.49,36.81,36.82,35.26,13.05,13.31,14.05,16.03,18.04,19.48,17.56,14.87,11.34,7.26,4.23,2.40,28.75,27.91,26.78,25.61,25.01,24.69,41.00,39.93,38.51,37.36,37.96,39.85
1262.26,1280.97,1311.55,1362.28,1422.82,1477.11,31.55,33.51,36.06,38.39,38.37,36.84,14.48,14.78,15.61,17.81,20.04,21.63,19.12,16.20,12.35,7.91,4.61,2.62,27.42,26.58,25.48,24.32,23.73,23.40,41.05,39.95,38.49,37.32,37.93,39.81
1429.53,1448.23,1478.81,1529.53,1590.06,1644.34,30.50,32.36,34.87,37.17,37.18,35.63,11.82,12.09,12.81,14.61,16.44,17.72,9.12,7.72,5.87,3.75,2.17,1.30,32.66,31.84,30.73,29.56,28.99,28.69,36.82,35.77,34.39,33.26,33.83,35.65
1319.03,1337.73,1368.32,1419.05,1479.59,1533.88,31.79,33.75,36.31,38.66,38.67,37.13,12.71,12.96,13.68,15.61,17.56,18.96,20.93,17.71,13.51,8.65,5.05,2.87,31.57,30.72,29.60,28.43,27.82,27.51,36.66,35.54,34.10,32.94,33.53,35.40
1287.50,1306.20,1336.78,1387.52,1448.07,1502.34,27.77,29.63,32.21,34.54,34.55,32.92,14.09,14.39,15.19,17.34,19.51,21.05,15.55,13.16,10.03,6.42,3.74,2.13,26.99,26.12,24.98,23.80,23.20,22.91,45.30,44.24,42.83,41.68,42.29,44.25
1326.42,1345.07,1375.56,1426.15,1486.52,1540.65,29.08,30.98,33.53,35.86,35.86,34.29,13.64,13.99,14.85,16.96,19.05,20.52,18.39,15.57,11.87,7.60,4.43,2.51,28.85,28.01,26.88,25.69,25.08,24.77,41.81,40.75,39.34,38.19,38.80,40.70
1298.68,1317.32,1347.78,1398.31,1458.62,1512.70,30.97,32.90,35.43,37.75,37.76,36.22,13.42,13.66,14.38,16.40,18.47,19.96,18.72,15.85,12.09,7.74,4.51,2.55,28.83,27.99,26.89,25.72,25.12,24.80,39.83,38.74,37.32,36.16,36.76,38.63
1231.62,1250.34,1280.91,1331.64,1392.19,1446.47,31.07,33.06,35.63,37.97,37.93,36.38,17.29,17.70,18.75,21.42,24.07,25.93,23.22,19.67,14.99,9.60,5.60,3.18,26.40,25.56,24.46,23.30,22.70,22.38,42.54,41.42,39.96,38.77,39.39,41.29
1318.77,1337.45,1368.03,1418.79,1479.30,1533.62,23.67,25.46,28.04,30.40,30.33,28.68,15.74,16.52,17.95,20.62,22.96,24.44,26.70,22.59,17.23,11.04,6.44,3.63,28.49,27.67,26.47,25.24,24.65,24.35,47.96,46.95,45.52,44.37,45.07,47.07
1234.59,1253.20,1283.60,1334.06,1394.27,1448.26,30.61,32.54,35.07,37.41,37.42,35.85,16.04,16.23,16.99,19.35,21.84,23.68,20.36,17.25,13.14,8.42,4.89,2.77,25.85,25.00,23.90,22.75,22.15,21.83,43.00,41.92,40.51,39.33,39.92,41.79
1348.85,1367.51,1398.02,1448.64,1509.05,1563.21,28.99,30.89,33.43,35.77,35.77,34.19,13.61,13.96,14.82,16.93,19.02,20.47,17.12,14.49,11.05,7.07,4.12,2.34,29.43,28.59,27.45,26.26,25.66,25.35,41.38,40.31,38.91,37.76,38.37,40.27
1295.90,1314.59,1345.17,1395.92,1456.44,1510.74,30.57,32.49,34.98,37.32,37.30,35.77,22.83,23.51,25.10,28.71,32.19,34.56,30.44,25.78,19.65,12.59,7.33,4.16,34.62,33.81,32.70,31.51,30.93,30.64,34.83,33.74,32.30,31.17,31.75,33.62
1412.15,1430.86,1461.43,1512.13,1572.67,1626.93,28.49,30.37,32.87,35.20,35.21,33.63,14.28,14.70,15.65,17.89,20.07,21.58,14.33,12.13,9.25,5.92,3.46,1.96,30.99,30.15,29.00,27.80,27.20,26.91,40.51,39.47,38.11,36.97,37.58,39.44
1255.91,1274.62,1305.21,1355.94,1416.48,1470.76,26.45,28.33,30.87,33.23,33.20,31.59,20.20,21.19,23.01,26.41,29.43,31.35,33.60,28.46,21.69,13.90,8.09,4.59,27.30,26.45,25.30,24.07,23.48,23.16,46.28,45.23,43.86,42.72,43.35,45.28
1314.11,1332.79,1363.32,1413.97,1474.42,1528.61,26.63,28.50,31.05,33.39,33.38,31.76,16.93,17.61,18.97,21.74,24.29,25.97,24.84,21.03,16.03,10.27,5.98,3.39,27.69,26.85,25.72,24.51,23.90,23.59,45.53,44.49,43.11,41.96,42.59,44.51
1287.99,1306.70,1337.27,1388.02,1448.56,1502.84,27.75,29.60,32.18,34.51,34.53,32.89,14.09,14.39,15.20,17.35,19.52,21.06,15.54,13.15,10.02,6.41,3.74,2.13,27.01,26.14,25.00,23.82,23.22,22.93,45.31,44.24,42.83,41.68,42.30,44.25
1306.45,1325.12,1355.64,1406.29,1466.71,1520.90,31.31,33.23,35.77,38.09,38.10,36.58,14.80,15.06,15.85,18.07,20.36,22.00,21.79,18.45,14.08,9.01,5.25,2.97,31.15,30.31,29.20,28.02,27.42,27.10,37.37,36.28,34.85,33.70,34.30,36.16
1353.80,1372.49,1403.04,1453.74,1514.23,1568.48,30.12,32.04,34.58,36.91,36.92,35.36,11.13,11.30,11.89,13.55,15.27,16.52,14.08,11.93,9.09,5.83,3.40,1.93,28.89,28.05,26.91,25.72,25.13,24.80,40.92,39.86,38.46,37.33,37.92,39.80
1254.43,1273.12,1303.68,1354.39,1414.89,1469.14,25.48,27.32,29.90,32.23,32.21,30.56,19.28,20.02,21.51,24.65,27.56,29.49,28.59,24.21,18.46,11.83,6.89,3.90,26.25,25.41,24.31,23.09,22.48,22.16,48.23,47.19,45.81,44.66,45.32,47.25
1414.34,1433.06,1463.63,1514.37,1574.91,1629.21,29.67,31.58,34.13,36.49,36.48,34.91,12.70,12.96,13.69,15.61,17.57,18.95,14.00,11.85,9.03,5.77,3.38,1.89,31.11,30.27,29.11,27.91,27.30,26.99,39.25,38.19,36.78,35.62,36.22,38.14
1230.95,1249.66,1280.22,1330.97,1391.51,1445.80,30.07,32.01,34.58,36.98,36.98,35.33,15.03,15.28,16.11,18.36,20.69,22.36,18.86,15.98,12.18,7.80,4.52,2.59,24.53,23.69,22.58,21.42,20.78,20.52,45.43,44.33,42.90,41.68,42.29,44.18
1334.73,1353.45,1384.01,1434.75,1495.32,1549.59,26.62,28.60,31.26,33.64,33.68,31.98,15.82,16.57,17.89,20.55,22.94,24.46,24.75,20.94,15.97,10.22,5.95,3.35,29.01,28.11,26.97,25.76,25.11,24.87,44.37,43.25,41.74,40.63,41.22,43.28
1320.91,1339.56,1370.04,1420.62,1480.97,1535.08,29.47,31.38,33.93,36.26,36.26,34.69,13.33,13.64,14.44,16.49,18.54,19.98,17.94,15.19,11.58,7.42,4.32,2.45,28.87,28.02,26.89,25.71,25.11,24.79,41.38,40.31,38.89,37.74,38.35,40.25
1286.90,1305.59,1336.16,1386.88,1447.41,1501.66,24.86,26.78,29.31,31.71,31.68,30.00,15.93,16.23,17.10,19.51,21.97,23.73,20.23,17.13,13.05,8.37,4.87,2.77,25.11,24.34,23.19,21.97,21.38,21.08,49.97,48.86,47.48,46.31,46.98,48.93
1286.64,1305.33,1335.90,1386.63,1447.14,1501.41,27.66,29.64,32.10,34.53,34.55,32.88,14.61,14.52,14.91,16.92,19.21,21.02,21.72,18.39,14.03,8.98,5.22,2.98,26.56,25.71,24.59,23.38,22.70,22.52,45.69,44.63,43.27,42.09,42.74,44.59
1279.82,1298.53,1329.11,1379.84,1440.39,1494.67,27.57,29.53,32.00,34.43,34.43,32.80,14.74,14.70,15.18,17.22,19.54,21.33,22.72,19.24,14.68,9.40,5.47,3.13,26.50,25.66,24.54,23.33,22.67,22.44,45.89,44.84,43.46,42.28,42.92,44.79
1283.19,1301.88,1332.44,1383.16,1443.67,1497.93,27.63,29.60,32.06,34.50,34.52,32.85,14.72,14.63,15.04,17.06,19.37,21.19,22.67,19.19,14.64,9.37,5.46,3.11,26.65,25.79,24.68,23.48,22.79,22.61,45.61,44.57,43.21,42.02,42.67,44.52
1439.71,1458.41,1488.98,1539.73,1600.27,1654.57,29.78,31.67,34.18,36.50,36.50,34.95,10.19,10.45,11.07,12.64,14.20,15.29,11.13,9.42,7.19,4.60,2.66,1.49,31.29,30.41,29.29,28.07,27.48,27.17,38.95,37.92,36.54,35.44,36.02,37.88
1285.61,1304.30,1334.87,1385.59,1446.10,1500.37,27.64,29.62,32.07,34.51,34.54,32.87,14.50,14.39,14.77,16.75,19.03,20.82,22.19,18.79,14.33,9.17,5.34,3.05,26.59,25.75,24.63,23.43,22.73,22.57,45.65,44.60,43.25,42.06,42.71,44.55
1287.89,1306.58,1337.23,1387.91,1448.43,1502.71,27.47,29.45,31.89,34.33,34.38,32.66,13.69,13.47,13.72,15.57,17.72,19.45,25.33,21.44,16.38,10.48,6.12,3.46,26.96,26.12,25.04,23.77,23.14,22.99,45.49,44.41,43.06,41.94,42.50,44.36
1425.31,1444.01,1474.56,1525.26,1585.77,1640.01,27.87,29.74,32.30,34.62,34.62,33.02,10.62,10.80,11.37,12.96,14.60,15.80,13.08,11.07,8.44,5.41,3.15,1.81,31.92,31.07,29.92,28.68,28.08,27.80,40.14,39.11,37.75,36.64,37.24,39.10
1320.28,1338.98,1369.53,1420.22,1480.72,1534.96,26.75,28.70,31.20,33.64,33.64,31.99,12.73,12.69,13.07,14.84,16.84,18.39,18.55,15.70,11.98,7.67,4.47,2.54,27.64,26.78,25.66,24.43,23.78,23.52,45.52,44.48,43.08,41.90,42.55,44.46
1283.84,1302.52,1333.08,1383.76,1444.23,1498.49,27.63,29.57,32.07,34.47,34.48,32.88,15.22,15.23,15.77,17.92,20.31,22.12,22.74,19.25,14.68,9.41,5.48,3.13,27.12,26.25,25.14,23.93,23.26,23.05,45.12,44.12,42.72,41.53,42.19,44.04
1293.43,1312.13,1342.70,1393.42,1453.94,1508.21,28.56,30.54,33.06,35.46,35.47,33.85,12.95,12.86,13.23,15.00,17.05,18.63,19.45,16.47,12.55,8.05,4.68,2.66,27.41,26.58,25.46,24.24,23.58,23.33,43.95,42.87,41.47,40.30,40.93,42.81
1436.05,1454.75,1485.31,1536.01,1596.53,1650.77,28.52,30.39,32.94,35.26,35.26,33.68,10.35,10.54,11.10,12.65,14.25,15.41,12.86,10.88,8.30,5.32,3.09,1.78,31.97,31.12,29.97,28.74,28.15,27.86,39.46,38.41,37.05,35.94,36.54,38.39
1438.51,1457.21,1487.78,1538.53,1599.06,1653.35,30.23,32.19,34.81,37.22,37.22,35.62,9.62,9.87,10.47,11.97,13.44,14.46,16.19,13.71,10.45,6.70,3.90,2.25,30.05,29.20,28.07,26.86,26.25,25.88,39.73,38.61,37.15,35.95,36.57,38.53
1322.48,1341.18,1371.75,1422.51,1483.03,1537.33,25.37,27.22,29.80,32.11,32.09,30.45,16.93,17.64,19.02,21.80,24.36,26.03,22.70,19.21,14.65,9.37,5.45,3.10,29.58,28.71,27.51,26.27,25.65,25.38,45.12,44.10,42.74,41.62,42.24,44.18
1372.23,1390.94,1421.51,1472.25,1532.79,1587.08,29.18,31.12,33.68,36.04,36.03,34.44,13.79,14.06,14.83,16.91,19.04,20.57,18.37,15.55,11.86,7.60,4.42,2.50,30.71,29.86,28.70,27.50,26.87,26.58,40.12,39.07,37.67,36.51,37.12,39.00
1347.12,1365.84,1396.41,1447.14,1507.69,1561.98,29.53,31.48,34.03,36.41,36.39,34.80,13.21,13.45,14.17,16.14,18.19,19.66,16.10,13.64,10.40,6.67,3.87,2.18,28.96,28.11,26.95,25.77,25.15,24.85,41.52,40.45,39.07,37.92,38.50,40.40
1388.13,1406.84,1437.42,1488.15,1548.70,1602.99,28.22,30.17,32.74,35.14,35.12,33.50,13.53,13.87,14.70,16.79,18.87,20.32,18.32,15.51,11.83,7.58,4.41,2.50,30.78,29.93,28.76,27.55,26.93,26.61,41.01,39.94,38.52,37.35,37.97,39.90
1317.88,1336.57,1367.11,1417.81,1478.29,1532.53,30.39,32.27,34.83,37.18,37.16,35.60,12.33,12.40,12.89,14.66,16.59,18.05,13.99,11.85,9.04,5.78,3.37,1.97,27.19,26.33,25.21,24.05,23.46,23.11,42.39,41.31,39.90,38.74,39.34,41.22
1492.87,1511.58,1542.16,1592.89,1653.44,1707.73,32.93,34.84,37.37,39.71,39.72,38.20,10.34,10.65,11.34,12.95,14.54,15.63,11.05,9.36,7.14,4.59,2.67,1.52,31.20,30.39,29.28,28.11,27.51,27.17,35.89,34.80,33.36,32.19,32.78,34.64
1443.60,1462.30,1492.86,1543.57,1604.08,1658.33,27.95,29.90,32.50,34.95,34.93,33.29,12.12,12.46,13.27,15.17,17.02,18.30,16.26,13.78,10.50,6.72,3.91,2.21,31.93,31.05,29.88,28.66,28.03,27.71,40.09,39.01,37.55,36.36,36.99,38.96
1458.42,1477.11,1507.70,1558.44,1618.98,1673.26,28.09,30.03,32.68,35.13,35.15,33.52,10.16,10.32,10.83,12.35,13.93,15.06,13.51,11.43,8.71,5.59,3.25,1.87,30.61,29.71,28.55,27.34,26.72,26.33,41.35,40.25,38.78,37.57,38.22,40.23
1431.00,1449.70,1480.25,1530.95,1591.45,1645.70,31.57,33.51,36.09,38.45,38.47,36.91,10.43,10.65,11.25,12.85,14.46,15.59,15.45,13.08,9.97,6.40,3.73,2.14,29.80,28.96,27.84,26.66,26.06,25.72,38.58,37.46,36.02,34.84,35.43,37.34
1418.47,1437.16,1467.73,1518.46,1578.98,1633.23,28.90,30.84,33.39,35.74,35.74,34.15,11.97,12.16,12.78,14.55,16.40,17.75,16.97,14.37,10.96,7.02,4.07,2.31,33.31,32.45,31.31,30.10,29.47,29.20,37.77,36.70,35.30,34.16,34.74,36.63
1353.94,1372.63,1403.16,1453.84,1514.31,1568.53,29.81,31.72,34.27,36.63,36.62,35.05,13.80,14.09,14.89,16.99,19.12,20.64,16.50,13.97,10.65,6.82,3.97,2.29,29.15,28.30,27.16,25.97,25.38,25.04,40.97,39.89,38.47,37.30,37.91,39.81
1367.05,1385.74,1416.28,1466.96,1527.44,1581.67,29.54,31.46,34.02,36.41,36.39,34.81,13.37,13.65,14.43,16.47,18.53,20.00,16.11,13.65,10.41,6.66,3.88,2.23,29.28,28.42,27.28,26.09,25.49,25.16,41.11,40.03,38.60,37.43,38.04,39.96
1389.94,1408.63,1439.21,1489.94,1550.46,1604.74,37.31,39.24,41.76,44.10,44.18,42.73,5.13,5.07,5.18,5.86,6.67,7.32,16.79,14.21,10.84,6.94,4.05,2.29,37.07,36.24,35.12,33.91,33.32,33.07,25.61,24.51,23.11,21.98,22.49,24.20
1388.43,1407.14,1437.71,1488.45,1549.00,1603.28,23.84,25.81,28.52,30.92,30.90,29.13,7.05,6.93,7.05,7.99,9.10,10.00,21.16,17.91,13.66,8.75,5.08,2.88,40.91,40.06,38.90,37.68,37.09,36.83,35.27,34.12,32.60,31.38,32.02,33.98
1409.55,1428.26,1458.84,1509.57,1570.12,1624.41,38.91,40.82,43.33,45.66,45.75,44.35,4.73,4.64,4.70,5.32,6.06,6.68,16.07,13.60,10.38,6.65,3.87,2.22,36.52,35.69,34.57,33.36,32.77,32.52,24.61,23.50,22.10,20.97,21.48,23.16
1172.90,1190.83,1220.13,1268.74,1326.75,1378.77,17.93,19.54,21.73,23.84,23.77,22.28,20.75,21.51,23.07,26.40,29.52,31.58,45.60,38.61,29.44,18.86,10.98,6.23,31.40,30.65,29.63,28.48,27.89,27.54,46.49,45.63,44.47,43.51,44.16,46.01
1386.77,1405.13,1435.15,1484.96,1544.40,1597.70,23.92,25.74,28.21,30.52,30.50,28.89,10.21,10.36,10.88,12.39,13.96,15.09,22.48,19.03,14.51,9.29,5.41,3.08,34.75,33.92,32.80,31.58,30.98,30.69,39.54,38.53,37.18,36.07,36.70,38.59
1478.35,1497.06,1527.65,1578.37,1638.92,1693.21,22.76,24.68,27.32,29.81,29.72,27.98,6.40,6.40,6.62,7.52,8.53,9.29,20.95,17.74,13.54,8.67,5.04,2.82,38.06,37.22,36.10,34.87,34.25,33.92,39.15,38.11,36.65,35.42,36.07,38.09
1234.83,1253.54,1284.14,1334.86,1395.39,1449.68,21.70,23.46,25.89,28.16,28.15,26.53,17.78,18.08,19.02,21.69,24.44,26.42,46.56,39.42,30.07,19.26,11.22,6.37,34.92,34.07,32.89,31.65,31.06,30.83,43.41,42.47,41.23,40.19,40.82,42.66
1253.11,1271.48,1301.50,1351.33,1410.77,1464.08,21.02,22.79,25.19,27.51,27.46,25.87,16.89,17.35,18.43,21.07,23.66,25.44,34.71,29.39,22.41,14.34,8.33,4.79,35.49,34.68,33.54,32.30,31.73,31.45,41.71,40.76,39.47,38.40,39.04,40.93
1443.79,1462.28,1492.49,1542.61,1602.43,1656.07,25.45,27.31,29.82,32.17,32.15,30.54,7.77,7.82,8.15,9.27,10.48,11.38,16.47,13.95,10.63,6.81,3.96,2.27,35.05,34.21,33.06,31.82,31.22,30.94,38.33,37.30,35.93,34.81,35.42,37.32
1351.62,1370.28,1400.79,1451.40,1511.79,1565.94,25.53,27.46,30.02,32.41,32.38,30.69,11.54,11.37,11.60,13.13,14.96,16.41,17.20,14.56,11.10,7.11,4.14,2.33,31.96,31.12,29.94,28.71,28.09,27.80,42.22,41.21,39.82,38.67,39.32,41.23
1348.92,1367.57,1398.06,1448.65,1509.03,1563.16,25.21,27.13,29.69,32.06,32.03,30.35,11.43,11.26,11.48,13.01,14.81,16.25,17.11,14.49,11.04,7.07,4.12,2.31,31.79,30.95,29.77,28.54,27.93,27.63,42.68,41.67,40.29,39.15,39.80,41.70
1077.43,1094.89,1123.43,1170.77,1227.26,1277.92,18.04,19.60,21.75,23.80,23.76,22.30,23.01,23.79,25.47,29.13,32.59,34.91,49.10,41.57,31.70,20.31,11.82,6.70,31.57,30.83,29.81,28.68,28.10,27.80,43.71,42.89,41.77,40.85,41.48,43.24
1447.13,1465.83,1496.39,1547.11,1607.62,1661.89,32.25,34.23,36.86,39.27,39.30,37.71,7.79,7.82,8.12,9.23,10.45,11.37,18.10,15.32,11.69,7.48,4.36,2.47,36.76,35.91,34.76,33.53,32.92,32.65,30.98,29.83,28.35,27.15,27.73,29.61
1492.73,1511.40,1541.92,1592.57,1653.01,1707.20,24.72,26.62,29.20,31.60,31.57,29.89,8.50,8.54,8.86,10.08,11.41,12.41,14.05,11.89,9.07,5.81,3.38,1.91,32.50,31.65,30.49,29.24,28.62,28.32,42.63,41.57,40.16,39.00,39.65,41.61
1329.59,1348.21,1378.65,1429.15,1489.41,1543.45,24.32,26.21,28.73,31.09,31.06,29.38,10.49,10.27,10.40,11.77,13.43,14.79,15.38,13.02,9.93,6.36,3.70,2.06,31.17,30.34,29.16,27.92,27.32,27.03,44.02,43.03,41.68,40.56,41.21,43.11
1440.66,1459.36,1489.94,1540.66,1601.20,1655.47,37.69,39.64,42.18,44.54,44.62,43.16,5.06,4.99,5.08,5.76,6.56,7.20,15.49,13.11,10.00,6.41,3.73,2.13,36.50,35.67,34.54,33.33,32.74,32.47,25.81,24.69,23.26,22.13,22.64,24.37
1371.79,1390.44,1420.93,1471.50,1531.86,1585.98,36.28,38.20,40.70,43.00,43.05,41.61,6.18,6.13,6.30,7.14,8.11,8.88,15.55,13.17,10.05,6.43,3.74,2.13,36.89,36.07,34.95,33.76,33.20,32.94,26.51,25.43,24.04,22.93,23.45,25.14
1137.58,1156.09,1186.31,1236.48,1296.34,1350.02,21.06,22.81,25.19,27.43,27.40,25.81,23.99,24.81,26.55,30.39,34.05,36.50,52.33,44.32,33.79,21.64,12.60,7.15,33.99,33.16,32.03,30.80,30.21,29.92,43.85,42.94,41.69,40.67,41.31,43.18
1371.65,1390.36,1420.95,1471.68,1532.21,1586.49,28.97,30.94,33.59,36.07,36.06,34.38,9.61,9.53,9.77,11.07,12.61,13.79,18.59,15.75,12.02,7.68,4.47,2.55,35.39,34.55,33.41,32.17,31.53,31.22,35.66,34.50,33.02,31.80,32.41,34.36
1386.58,1404.95,1434.97,1484.77,1544.21,1597.51,23.91,25.73,28.20,30.51,30.48,28.88,10.23,10.37,10.89,12.41,13.97,15.11,22.50,19.06,14.53,9.30,5.42,3.09,34.73,33.90,32.77,31.56,30.96,30.67,39.56,38.56,37.21,36.10,36.73,38.62
1524.51,1543.21,1573.77,1624.48,1685.00,1739.26,24.46,26.36,28.92,31.31,31.28,29.62,6.13,6.08,6.22,7.04,8.02,8.78,10.09,8.54,6.51,4.17,2.46,1.43,34.69,33.83,32.67,31.44,30.82,30.53,40.81,39.76,38.36,37.23,37.86,39.81
1298.82,1317.53,1348.11,1398.84,1459.39,1513.68,23.32,25.20,27.72,30.14,30.09,28.43,15.04,15.29,16.09,18.34,20.67,22.35,30.55,25.87,19.74,12.64,7.36,4.18,35.17,34.29,33.11,31.86,31.25,30.97,41.56,40.53,39.17,38.03,38.69,40.62
1317.09,1334.77,1363.68,1411.64,1468.87,1520.18,19.67,21.37,23.70,25.87,25.83,24.28,11.06,11.31,11.96,13.64,15.33,16.52,23.41,19.83,15.11,9.68,5.63,3.24,32.78,31.98,30.86,29.67,29.10,28.82,42.09,41.19,39.98,38.98,39.59,41.41
1455.93,1474.64,1505.20,1555.93,1616.46,1670.73,26.78,28.75,31.34,33.80,33.79,32.10,9.49,9.52,9.87,11.23,12.71,13.83,16.72,14.16,10.80,6.91,4.03,2.27,31.71,30.83,29.64,28.40,27.78,27.48,41.51,40.42,38.98,37.80,38.44,40.39
1443.20,1461.67,1491.88,1541.99,1601.80,1655.42,25.51,27.36,29.88,32.22,32.20,30.59,7.80,7.85,8.19,9.31,10.53,11.43,16.34,13.84,10.55,6.75,3.93,2.25,34.98,34.14,32.98,31.75,31.15,30.87,38.33,37.30,35.93,34.81,35.43,37.31
880.50,897.17,924.44,969.68,1023.67,1072.08,13.38,14.73,16.66,18.52,18.46,17.10,23.02,23.78,25.43,29.08,32.59,34.97,70.21,59.46,45.33,29.03,16.91,9.58,30.16,29.50,28.53,27.43,26.88,26.55,45.66,44.96,44.00,43.23,43.85,45.53
1434.30,1452.74,1482.90,1532.93,1592.63,1646.17,25.98,27.83,30.34,32.67,32.65,31.06,7.91,7.99,8.34,9.49,10.72,11.63,16.43,13.91,10.60,6.79,3.95,2.27,34.50,33.66,32.51,31.28,30.68,30.40,38.16,37.13,35.77,34.66,35.27,37.15
1463.13,1481.78,1512.27,1562.85,1623.21,1677.34,27.89,29.78,32.34,34.71,34.70,33.10,7.13,7.15,7.43,8.45,9.56,10.40,14.53,12.30,9.38,6.00,3.50,2.00,34.98,34.14,32.98,31.74,31.14,30.85,36.86,35.80,34.40,33.26,33.86,35.75
1450.15,1468.87,1499.43,1550.17,1610.73,1665.01,29.15,31.09,33.79,36.26,36.27,34.62,6.33,6.28,6.43,7.29,8.28,9.07,11.91,10.07,7.68,4.92,2.86,1.61,32.08,31.21,30.03,28.79,28.17,27.84,38.80,37.69,36.20,34.96,35.61,37.57
1362.01,1380.53,1410.79,1461.00,1520.93,1574.66,25.73,27.61,30.12,32.43,32.42,30.84,10.16,10.08,10.34,11.73,13.33,14.58,20.28,17.18,13.10,8.39,4.88,2.76,34.31,33.47,32.33,31.10,30.50,30.22,38.94,37.93,36.57,35.45,36.07,37.95
1252.13,1270.29,1299.98,1349.24,1408.02,1460.73,19.67,21.38,23.70,25.91,25.86,24.29,16.82,17.34,18.50,21.15,23.69,25.42,38.36,32.48,24.77,15.86,9.23,5.25,33.62,32.83,31.77,30.59,29.99,29.67,43.82,42.89,41.63,40.59,41.24,43.13
767.41,780.21,801.16,835.90,877.36,914.53,11.83,12.92,14.45,15.92,15.88,14.82,17.49,18.14,19.48,22.29,24.91,26.64,41.19,34.88,26.59,17.03,9.92,5.63,22.44,21.93,21.19,20.38,19.95,19.72,34.20,33.63,32.83,32.18,32.66,33.96
807.55,821.47,844.25,882.03,927.11,967.54,12.39,13.56,15.20,16.79,16.75,15.59,19.84,20.59,22.10,25.28,28.22,30.16,47.77,40.45,30.84,19.76,11.50,6.53,24.59,24.03,23.23,22.34,21.88,21.62,37.49,36.87,36.03,35.33,35.85,37.27
1316.74,1335.45,1366.02,1416.76,1477.30,1531.59,25.20,27.13,29.77,32.15,32.13,30.45,10.53,10.49,10.80,12.26,13.91,15.19,24.00,20.33,15.50,9.93,5.78,3.30,42.34,41.51,40.40,39.18,38.61,38.38,32.45,31.33,29.85,28.65,29.25,31.16
1457.54,1476.19,1506.67,1557.25,1617.61,1671.73,30.90,32.82,35.38,37.75,37.77,36.20,6.66,6.64,6.85,7.78,8.83,9.63,13.96,11.82,9.01,5.77,3.36,1.91,34.37,33.52,32.38,31.16,30.55,30.26,34.45,33.36,31.95,30.79,31.38,33.24
1402.15,1420.58,1450.71,1500.70,1560.36,1613.85,24.31,26.14,28.62,30.94,30.92,29.31,9.66,9.78,10.26,11.69,13.18,14.26,20.85,17.65,13.46,8.62,5.02,2.86,34.80,33.97,32.83,31.60,31.00,30.71,39.46,38.45,37.10,35.99,36.61,38.51
1333.43,1352.14,1382.72,1433.45,1494.00,1548.28,20.75,22.54,25.00,27.32,27.27,25.65,12.58,12.53,12.91,14.65,16.63,18.16,17.67,14.96,11.41,7.31,4.26,2.42,33.54,32.71,31.55,30.27,29.65,29.38,45.70,44.77,43.51,42.44,43.11,45.04
1064.15,1081.12,1108.84,1154.83,1209.73,1258.94,17.37,18.87,20.96,22.94,22.89,21.46,21.93,22.68,24.27,27.65,30.77,32.83,54.20,45.89,34.99,22.41,13.05,7.40,30.35,29.67,28.73,27.69,27.14,26.83,42.94,42.11,40.97,40.02,40.63,42.37
1335.23,1353.80,1384.15,1434.52,1494.63,1548.53,24.09,25.96,28.46,30.81,30.79,29.14,10.38,10.24,10.46,11.85,13.49,14.79,16.19,13.71,10.45,6.70,3.89,2.17,31.76,30.91,29.76,28.54,27.94,27.61,43.42,42.42,41.07,39.97,40.60,42.53
1140.41,1158.24,1187.37,1235.72,1293.40,1345.13,17.22,18.78,20.94,23.01,22.95,21.47,22.20,23.04,24.75,28.33,31.66,33.85,48.95,41.45,31.61,20.25,11.78,6.69,30.77,30.04,29.04,27.91,27.32,26.96,47.29,46.45,45.31,44.37,45.02,46.86
1157.24,1173.75,1200.73,1245.50,1298.91,1346.82,17.60,19.12,21.22,23.24,23.18,21.77,14.21,14.63,15.59,17.80,19.95,21.41,31.31,26.51,20.21,12.95,7.55,4.31,30.61,29.89,28.89,27.79,27.25,26.98,40.04,39.23,38.13,37.22,37.80,39.49
1470.84,1489.54,1520.12,1570.86,1631.40,1685.68,22.23,24.16,26.75,29.21,29.16,27.43,5.39,5.32,5.42,6.13,6.99,7.67,7.79,6.63,5.06,3.13,1.74,1.30,40.46,39.61,38.42,37.23,36.60,36.39,37.27,36.23,34.78,33.55,34.23,36.21
