"SEA","TROPICAL_EVERGREEN","SUBTROPICAL_EVERGREEN","TEMPERATE_BROADLEAVED","TROPICAL_MONTANE","TROPICAL_SEMIEVERGREEN","TEMPERATE_CONIFER","SUBTROPICAL_CONIFER","TROPICAL_MOIST_DECIDUOUS","TROPICAL_DRY_DECIDUOUS","JUNIPERS","MANGROVES","DEGRADED_FOREST","DRY_WOODLAND","THORN_FOREST_SCRUB_NORTHERN","THORN_FOREST_SCRUB_SOUTHERN","SHRUBS","ABANDONED_JHUM","SPARSE_WOODS","BUSH","COASTAL_VEGETATION","SAVANNAH","PLAIN_GRASSLANDS","SLOPE_GRASSLANDS","DESERT_GRASSLANDS","ALPINE_MEADOW","ALPINE_GRASSLANDS","SPARSE_VEGETATION_COLD","SPARSE_VEGETATION_HOT","GOBI","DESERT_COLD","THORN_SCRUB_DESERT_HOT","IRRIGATED_INTENSIVE_AGRICULTURE","IRRIGATED_AGRICULTURE","SLOPE_AGRICULTURE","RAINFED_AGRICULTURE","CURRENT_JHUM","SWAMP","CORAL_REEF","WATER_BODIES","SNOW","BARREN","BARE_ROCK","SALT_PANS","MUD_FLATS","SETTLEMENT","NO_DATA","CROP_LAND"
0,11.2143249469473,0.300528567083563,0.014091152889505,0,21.5936002349849,0.136644489639778,0.0228733150776824,5.09916152678634,0.145327418356902,0,0,2.99213723592113,0,0,0,0,50.586296155348,0,0,0,0.158773553684564,0,0.00992334710528522,0,0,0,0,0,0,0,0,0.639510104200106,2.3362536089973,0,0,0.233198656974203,0,0,0,0,0.0297700413158557,0,0,0,0.020144394623729,4.46744125006388,0.115677240920184
0,11.2119996011642,0.30046625099771,0.0140882310192091,0,21.5891226950984,0.138253168487802,0.0228685721825894,5.09810419040542,0.145297283997407,0,0,2.99151680145565,0,0,0,0,50.5758068364629,0,0,0,0.158740631202356,0,0.00992128945014726,0,0,0,0,0,0,0,0,0.647711381752864,2.34192037470726,0,0,0.233150302078461,0,0,0,0,0.0297638683504418,0,0,0,0.0247536171781174,4.46651490400904,0.115791884551714
0,10.9842627932125,0.245220659619127,0.0100625151469198,0,21.3071278038632,0.14491439067219,0.0163338714180635,4.88031984625611,0.150441687724724,0,0,4.22629179309768,0,0,0,0,47.8666404946789,0,0,0,0.11338045235966,0,0.0141725565449575,0,0,0,0,0,0,0,0,1.81681545488946,4.79287517237372,0,0,0.16652753940325,0,0,0,0,0.0425176696348724,0,0,0,0.0318882522261543,3.19020704687856,0.172033984037924
0,0.324644581817198,0,0,0,24.6229388450769,0,0,26.5221096487075,0,0,0,24.3916295805321,0,0,0,0,2.2048777848418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48795433332882,20.4458452256956,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0731226411254918
0,10.4053489894261,0.331941300187931,0.0131696607890471,0,24.2072193446513,0.163435490392074,0.0303560681187535,6.46419630169586,0.126165350359071,0,0,1.44583120972553,0,0,0,0,50.0331875451884,0,0,0,0.190960081441182,0,0.00658483039452353,0,0,0,0,0,0,0,0,0.0791496613421728,0.264183395428284,0,0,0.309487028542606,0,0,0,0,0,0,0,0,0,5.92878374231715,0.062666380109722
0,8.62768871039328,0.106087013001072,0.324756162248179,0,23.356463188889,3.68598244151683,2.58397653095468,2.79831559803847,2.28520086168635,0,0,7.49320718360631,0,0,0,0,24.8784870692921,0,0,0,9.19709451486842,0,0.0389707394697814,0,0,0,0,0,0,0,0,1.46898037390259,10.7050456282408,0,0,2.44974398389209,0,0,0,0,0,0,0,0,0,0,0.117658191232498
0,0.229384103681615,0.734029131781168,0,0,31.8820965707077,0,4.40188094965019,0.45876820736323,0.688152311044845,0,0,6.68195894024544,0,0,0,0,24.4752838628283,0,0,0,9.21435944489047,0,0,0,0,0,0,0,0,0,0,0.621630920977176,7.86328707420576,0,0,12.7491684826242,0,0,0,0,0,0,0,0,0,0,0.240107554040398
0,12.4037138133399,0.35981666599854,0.0121477604996131,0,23.6903195711355,0.163205162312302,0.0280005879516082,5.9841690385169,0.116375545586293,0,0,1.95572870163521,0,0,0,0,48.8987447719076,0,0,0,0.180576459826749,0,0.00607388024980655,0,0,0,0,0,0,0,0,0.0745265106651263,0.372389598115639,0,0,0.285472371740908,0,0,0,0,0,0,0,0,0,5.46873956051832,0.0702895545203799
0,0.565583839486795,0,0,0,25.4214154098137,0,0,33.070019791169,0.128386678495871,0,0,18.192093769194,0,0,0,0,13.7569951545759,0,0,0,0,0,0.12796014468027,0,0,0,0,0,0,0,0,3.92368456971269,4.81386064287177,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19034466108751
0,6.05934252881231,0,0.166786196774355,0,12.2621211868506,3.98619010290708,0.833930983871775,0.33357239354871,3.26400587087413,0,0,2.69192921593809,0,0,0,0,21.5621195189886,0,0,0,27.6681621828977,0,0,0,0,0,0,0,0,0,0,1.63617259035642,14.2869056156912,0,0,5.24876161248895,0,0,0,0,0,0,0,0,0,0,0.388338686514945
0,0.601308730766963,0,0,0,26.4539563484326,0,0,35.0155768890662,0.136042699268544,0,0,16.5536756469964,0,0,0,0,13.9203424648216,0,0,0,0,0,0.136042699268544,0,0,0,0,0,0,0,0,3.41920650828273,3.76384801309638,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192535530570222
