"T_AVG_BASIN","T_MAX_BASIN","T_MAXSTD_BASIN","T_MIN_BASIN","T_MINSTD_BASIN","JAN_TMP7100_DEGC","FEB_TMP7100_DEGC","MAR_TMP7100_DEGC","APR_TMP7100_DEGC","MAY_TMP7100_DEGC","JUN_TMP7100_DEGC","JUL_TMP7100_DEGC","AUG_TMP7100_DEGC","SEP_TMP7100_DEGC","OCT_TMP7100_DEGC","NOV_TMP7100_DEGC","DEC_TMP7100_DEGC","PET_HAMON","PET_HARTG"
23.0148154496328,25.2712546691004,3.82790817850655,20.2830018560877,4.55857375306512,15.8257963972867,18.2579529872594,21.8795276404531,24.2016764092019,25.4829881770366,26.6522406598738,26.9115954851678,27.1130549947045,26.6038556410434,24.7967478316866,21.0173526104603,17.2205890836402,4.04007549447713,3.93427483894633
23.0148154496328,25.2712546691004,3.82790817850655,20.2830018560877,4.55857375306512,15.8257963972867,18.2579529872594,21.8795276404531,24.2016764092019,25.4829881770366,26.6522406598738,26.9115954851678,27.1130549947045,26.6038556410434,24.7967478316866,21.0173526104603,17.2205890836402,4.04002858465252,3.93468962442964
22.8510228458034,25.0737296912297,3.78383248276756,20.1856297231297,4.41992149347556,15.7033086045989,18.1249176575019,21.7543049234985,24.0720586190586,25.3180079530079,26.451035029535,26.7032536009955,26.8953752689237,26.3954953194953,24.609553786328,20.8727787017787,17.0995795689344,4.00097734398818,3.9016794019075
23.0368786853492,25.1498926681784,3.56387220890066,20.6105396825397,4.2237478520163,15.9769544290835,18.3853661316212,22.258162972716,24.6647404383976,25.7154032623802,26.5268949357521,26.615601931095,26.752432155658,26.3024657596372,24.6730016823934,21.0384495842782,17.3270010972131,4.03154224100973,4.0118133811598
23.0737193613275,25.3335643433139,3.83791006929629,20.3339391993149,4.59032057773396,15.8765046018822,18.3098536403195,21.9214584252082,24.2420796913071,25.5425811483149,26.7254249625348,26.9865067328856,27.1912218838268,26.6756746082719,24.8627134974403,21.0691538265488,17.266482838023,4.05350588945999,3.94896028116168
22.9834344443962,25.2087566137566,3.83417145806284,20.4464153439153,4.26893838650674,15.8851971326165,18.1748033707865,21.699349718382,24.0034761904762,25.400993343574,26.6528518518519,26.9514644137225,27.188853046595,26.6336243386243,24.7421249359959,20.9586984126984,17.2875268817204,4.0336189456371,3.85851365676056
23.1674473078093,25.3888095238095,3.82386125170358,20.6586772486773,4.2406565899913,15.9363799283154,18.3006404494382,22.355376344086,24.9348253968254,25.8313159242192,26.6781058201058,26.9133026113671,27.1315104966718,26.5722804232804,24.7627752176139,21.0159206349206,17.3565130568356,4.0755363362679,3.8411514615211
23.04823441178,25.3068595640062,3.83835780749286,20.315879255707,4.56846583929429,15.852573109414,18.2843882756978,21.8949286501333,24.2133464673659,25.5162149560611,26.7012984837437,26.9634064653636,27.1667363157885,26.650233122067,24.8353679760593,21.0425687456765,17.2426805820166,4.0480268021873,3.94124972627274
22.8608473904593,25.0245739425297,3.70877063664113,20.3938258472651,4.23867165491001,15.6749072876073,18.1160276073793,21.8696810377883,24.2342180473506,25.4066282989274,26.4327694785264,26.665648181795,26.8187056603667,26.3263625122575,24.5678632031546,20.8927936826832,17.1120904104312,3.99997224432734,3.90202511284137
22.9834344443962,25.2087566137566,3.83417145806284,20.4464153439153,4.26893838650674,15.8851971326165,18.1748033707865,21.699349718382,24.0034761904762,25.400993343574,26.6528518518519,26.9514644137225,27.188853046595,26.6336243386243,24.7421249359959,20.9586984126984,17.2875268817204,4.03346341215229,3.85986141295011
22.8606876319278,25.0230747750192,3.70719605020245,20.3943065165287,4.24107342750636,15.6734482398326,18.1155915262172,21.8702739867659,24.2347138843667,25.407524540374,26.4337083502917,26.6658887488457,26.8194019555713,26.3257831705332,24.5675721112818,20.8915169357392,17.1103374000551,3.99954780142179,3.90571345721876
23.04823441178,25.3068595640062,3.83835780749286,20.315879255707,4.56846583929429,15.852573109414,18.2843882756978,21.8949286501333,24.2133464673659,25.5162149560611,26.7012984837437,26.9634064653636,27.1667363157885,26.650233122067,24.8353679760593,21.0425687456765,17.2426805820166,4.04804185779905,3.94111706541329
22.9834344443962,25.2087566137566,3.83417145806284,20.4464153439153,4.26893838650674,15.8851971326165,18.1748033707865,21.699349718382,24.0034761904762,25.400993343574,26.6528518518519,26.9514644137225,27.188853046595,26.6336243386243,24.7421249359959,20.9586984126984,17.2875268817204,4.03346435439612,3.85985325118898
23.1674473078093,25.3888095238095,3.82386125170358,20.6586772486773,4.2406565899913,15.9363799283154,18.3006404494382,22.355376344086,24.9348253968254,25.8313159242192,26.6781058201058,26.9133026113671,27.1315104966718,26.5722804232804,24.7627752176139,21.0159206349206,17.3565130568356,4.07533342939479,3.84291556674122
22.9834344443962,25.2087566137566,3.83417145806284,20.4464153439153,4.26893838650674,15.8851971326165,18.1748033707865,21.699349718382,24.0034761904762,25.400993343574,26.6528518518519,26.9514644137225,27.188853046595,26.6336243386243,24.7421249359959,20.9586984126984,17.2875268817204,4.03357462918669,3.85889778143619
22.9135222284994,25.1690079365079,3.73298505556913,20.0904761904762,4.73463230718084,15.7838453661034,18.2042752808989,21.8900409626216,24.2819841269841,25.3859959037378,26.4135079365079,26.6556835637481,26.8537275985663,26.403,24.6629953917051,20.9925026455026,17.2251971326165,4.0090672282251,3.94421101296903
