"URBAN","MIXED_SETTLEMENTS","RICE_VILLAGES","IRRIGATED_VILLAGES","RAINFED_VILLAGES","PASTORAL_VILLAGES","RESIDENTIAL_IRRIGATED_CROPLANDS","RESIDENTIAL_RAINFED_CROPLANDS","POPULATED_CROPLANDS","REMOTE_CROPLANDS","RESIDENTIAL_RANGELANDS","POPULATED_RANGELANDS","REMOTE_RANGELANDS","RESIDENTIAL_WOODLANDS","POPULATED_WOODLANDS","REMOTE_WOODLANDS","INHABITED_TREELESS_AND_BARREN_LANDS","WILD_WOODLANDS","WILD_TREELESS_AND_BARREN_LANDS"
0.272373540856031,0.933852140077821,2.49891915261565,0,3.220925205361,0,0,8.89321227842628,3.89105058365759,0,0,0,0,25.538261997406,53.1603977518374,1.51750972762646,0.0734976221357544,0,0
0.276637129889777,0.933650313377999,2.51566889993516,0,3.22022909012319,0,0,8.89129025286363,3.89020963907499,0,0,0,0,25.5327425977956,53.1489085800735,1.51718175923925,0.0734817376269721,0,0
0.617455466024513,1.44793306782748,5.45830631965669,0,5.66515390077491,0,0,18.2149362477231,3.74486740143867,0,0,0,0,24.2258652094718,39.4893643295977,1.08363434287302,0.0524837146120836,0,0
0,21.5801886792453,0.943396226415094,0,44.5754716981132,0,0,17.2169811320755,0,0,0,0,0,15.6839622641509,0,0,0,0,0
0,0.935544969293463,0.114790793778339,0,1.14216839809447,0,0,3.51259828961717,4.57441313206681,0,0,0,0,24.7201974401653,62.888136371463,2.01457843080985,0.0975721747115881,0,0
0,0.849056603773585,14.622641509434,0,8.11320754716981,0,0,73.5849056603774,0,0,0,0,0,2.83018867924528,0,0,0,0,0
0,4.56140350877193,6.11528822055138,0,0.601503759398496,0,0,0,0,0,0,0,0,65.062656641604,23.6591478696742,0,0,0,0
0,0.862479496269644,0.10582570506376,0,1.83607598285624,0,0,3.74093867400392,4.75157415736282,0,0,0,0,24.3716598761839,62.3842531350865,1.85724112386899,0.089951849304196,0,0
0,3.1657355679702,0,0,22.8305400372439,0,0,61.1173184357542,0,0,0,0,0,12.8864059590317,0,0,0,0,0
0,0,42.2740524781341,0,10.932944606414,0,0,32.6530612244898,0,0,0,0,0,13.9941690962099,0.145772594752187,0,0,0,0
0,0.99009900990099,0,0,21.8613861386139,0,0,63.4455445544554,0,0,0,0,0,13.7029702970297,0,0,0,0,0
0,0.862433862433862,0.105820105820106,0,1.84126984126984,0,0,3.74074074074074,4.75132275132275,0,0,0,0,24.3703703703704,62.3809523809524,1.85714285714286,0.08994708994709,0,0
0,0,42.2740524781341,0,10.932944606414,0,0,32.6530612244898,0,0,0,0,0,13.9941690962099,0.145772594752187,0,0,0,0
0,0,23.6189402480271,0,2.423900789177,0,0,15.5016910935738,1.29650507328072,0,0,0,0,23.1116121758737,34.0473506200676,0,0,0,0
0,13.7386018237082,34.2249240121581,0,13.5562310030395,0,0,24.3161094224924,0,0,0,0,0,14.1641337386018,0,0,0,0,0
6.69495520980669,0.188590287600189,0,0,6.45921735030646,0,0,78.0763790664781,0,0,0,0,0,8.58085808580858,0,0,0,0,0
